id;start_date;updated_date;survey_id;email;status;device_type;contact_id;contact_list_id;promotion_code;1_¿Cuál es su sexo?                    ;2_¿En qué rango de edad se encuentra usted?;3_¿Vive usted en la ciudad de Madrid?;4_En qué distrito vive?;5_¿Practicaba alguna de estas modalidades antes de inscribirse en el programa?.Puede señalar una o varias respuestas.__Natación;5_¿Practicaba alguna de estas modalidades antes de inscribirse en el programa?.Puede señalar una o varias respuestas.__Ciclismo;5_¿Practicaba alguna de estas modalidades antes de inscribirse en el programa?.Puede señalar una o varias respuestas.__Carrera;5_¿Practicaba alguna de estas modalidades antes de inscribirse en el programa?.Puede señalar una o varias respuestas.__Ninguna;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar una o varias respuestas__Centro Deportivo;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar una o varias respuestas__Redes sociales;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar una o varias respuestas__Familiares/ amistades;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar una o varias respuestas__Federación    ;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar una o varias respuestas__Web / Aplicación;"6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar una o varias respuestas__Otros";"7_En relación con el procedimiento de inscripción, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Información del programa y atención recibida en el Centro Deportivo";"7_En relación con el procedimiento de inscripción, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Satisfacción global con el procedimiento de inscripción a través de medios telemáticos";"8_¿Se producen ausencias del profesorado?
";9_En caso de producirse ausencias del profesorado, ¿se recuperan esas horas de clase?     ;"10_En relación con el profesorado,indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Puntualidad del profesorado";"10_En relación con el profesorado,indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Calidad de las clases recibidas";"10_En relación con el profesorado,indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Satisfacción global con el profesorado ";"10_En relación con el profesorado,indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Satisfacción global con las clases";"11_En relación con la valoración de la actividad, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Organización de la actividad";"11_En relación con la valoración de la actividad, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Lugares elegidos para la realización de la actividad";"11_En relación con la valoración de la actividad, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Cumplimiento del calendario anual de actividad";"11_En relación con la valoración de la actividad, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Adquisición de la técnica básica para el desarrollo de la actividad de la natación";"11_En relación con la valoración de la actividad, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Adquisición de la técnica básica para el desarrollo de la actividad del ciclismo";"11_En relación con la valoración de la actividad, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Adquisición de la técnica básica para el desarrollo de la actividad de la carrera";"12_¿Cuál es su valoración general del programa? Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Relación calidad precio del servicio recibido";"12_¿Cuál es su valoración general del programa? Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Satisfacción global con el programa";13_¿Recomendaría usted el programa a familiares o amistades?;14_Para finalizar, indique aquellas sugerencias que puedan contribuir a la mejora del programa.
37559187;2023-06-12 22:35:06;2023-06-12 22:40:01;316475;;Completa;Mobile;23918732;29508;;Mujer;De 46 a 65 años;Sí;18. Villa de Vallecas;;Ciclismo;Carrera;;Centro Deportivo;;Familiares/ amistades;;;;8;7;Poca frecuencia (1 a 3);No;9;8;8;8;9;9;7;5;5;5;10;8;Sí;Creo que el profesorado debería ser municipal y no una contrata externa
37559189;2023-06-07 14:43:15;2023-06-07 14:46:35;316475;;Parcial;Mobile;23918734;29508;;Hombre;De 27 a 45 años;Sí;10. Latina;;;;;;;;;Web / Aplicación;;5;9;;;;;;;;;;;;;;;;
37559190;2023-06-11 10:55:39;2023-06-11 10:57:25;316475;;Completa;Mobile;23918735;29508;;Mujer;De 27 a 45 años;Sí;18. Villa de Vallecas;Natación;Ciclismo;Carrera;;;;Familiares/ amistades;;;;7;7;Nunca;;10;10;10;10;8;8;10;9;9;9;10;10;Sí;
37559192;2023-06-07 10:29:19;2023-06-07 10:31:54;316475;;Completa;Desktop;23918737;29508;;Mujer;De 27 a 45 años;Sí;2. Arganzuela;;;Carrera;;;Redes sociales;;;;;10;10;Nunca;;9;6;6;6;6;6;6;4;4;4;9;9;Sí;
37559196;2023-06-08 11:18:23;2023-06-08 11:48:42;316475;;Completa;Mobile;23918741;29508;;Mujer;De 27 a 45 años;Sí;9. Moncloa-Aravaca;Natación;Ciclismo;Carrera;;;;;;Web / Aplicación;;9;3;Nunca;;10;2;3;2;7;8;10;2;3;2;10;9;Sí;"A pesar de existir la app y estar dado de alta, hay trámites que necesitas hacer presencialmente, no teniendo sentido.
Se echa en falta tener siempre dos calles en natación, no tenemos espacio suficiente y dado que tenemos ritmos muy diferentes, nos molestamos entre nosotros no pudiendo nadar.
El profesor ha sido siempre correcto, amable y puntual, pero muy muy poco didáctico. No corrige errores de técnica, si preguntas algo concreto o pides alguna explicación para aprender, no te contesta, te dice que practiques por tu cuenta o te indica que ya te corregirá si ve algún fallo. Siendo una escuela de triatlón, creo que es un problema muy grave."
37559199;2023-06-07 11:09:29;2023-06-07 11:13:41;316475;;Completa;Mobile;23918744;29508;;Mujer;De 46 a 65 años;Sí;10. Latina;Natación;Ciclismo;Carrera;;;;Familiares/ amistades;;Web / Aplicación;;10;10;Nunca;;10;10;10;10;10;10;10;10;10;10;10;10;Sí;
37559200;2023-06-07 14:17:36;2023-06-07 14:19:49;316475;;Completa;Mobile;23918745;29508;;Mujer;De 27 a 45 años;Sí;7. Chamberí;;Ciclismo;Carrera;;;;Familiares/ amistades;;;;6;6;Poca frecuencia (1 a 3);Sí;9;6;6;6;6;8;8;6;6;6;8;7;Sí;
37559201;2023-06-08 17:53:02;2023-06-08 18:12:31;316475;;Completa;Desktop;23918746;29508;;Mujer;De 46 a 65 años;Sí;1. Centro;Natación;Ciclismo;Carrera;;;Redes sociales;;;;;7;5;Poca frecuencia (1 a 3);Sí;9;1;1;1;8;10;8;3;3;3;5;10;Sí;"La actividad e iniciativa es estupenda, pero deberíamos tener mejores instructores/profesores/entrenadores, que te corrijan, que se impliquen de verdad en las actividades, y sobre todo, que te escuchen. 

Hay varias cosas que no pueden ser posibles:

- no se puede ser, que se de mas carrera, porque al entrenador le gusta mas correr, que otras actividades, y que conste que me gusta correr, pero creo que falto hacer mas ciclismo.
- no puede ser, que el entrenador prefiera irse a correr y piense que los que hacemos transiciones nos tenemos que buscar la vida con la bici, mientras el se va a correr. 
- no puede ser, que si le dices a tu entrenador que una zona es peligrosa para hacer el entreno en bicicleta, que el diga que ir a donde lo solemos hacer le queda lejos (porque el va sin bici), y aunque le damos sugerencias de sitios cercanos, no nos escuche.
- no puede ser, que le preguntes al entrenados como quitarte el neopreno y te diga eso se aprende con el tiempo, a ver, si el ha hecho triatlones, alguna técnica tendrá que tener, aunque sea propia.

Tengo dos años en el programa, en este tiempo he pasado por el entrenamiento de Germán, de David y de Raúl, y si me ponen a elegir, prefiero a David y a Germán. 


"
37559202;2023-06-07 10:58:59;2023-06-07 10:59:42;316475;;Parcial;Mobile;23918747;29508;;Mujer;De 27 a 45 años;Sí;14. Moratalaz;Natación;;;;;;Familiares/ amistades;;;;6;6;;;;;;;;;;;;;;;;
37559204;2023-06-07 11:23:51;2023-06-07 11:25:42;316475;;Completa;Desktop;23918749;29508;;Mujer;De 46 a 65 años;Sí;8. Fuencarral-El Pardo;Natación;Ciclismo;Carrera;;;;Familiares/ amistades;;;;10;10;Poca frecuencia (1 a 3);;10;10;10;10;10;10;10;10;9;10;10;10;Sí;
37559208;2023-06-08 11:19:33;2023-06-12 18:03:49;316475;;Completa;Desktop;23918753;29508;;Hombre;De 27 a 45 años;Sí;2. Arganzuela;;;Carrera;;;;Familiares/ amistades;;Web / Aplicación;;10;5;Nunca;;10;2;2;3;10;8;10;2;2;2;10;9;Sí;"La iniciativa es estupenda. La idea es magnífica. El entorno donde se desarrolla es fantástico. La calidad-precio es más que destacable. Sin embargo, dejé de asistir regularmente a la actividad por dos razones:
-No es posible adquirir una técnica básica de natación ni completar pautas de entrenamiento del nado cuando sólo se puede usar una calle de la piscina, a compartir entre 10 personas. En el centro deportivo me comentaron que otros años se habilitaban dos calles de natación para esta iniciativa, pero que este año sólo lo habían dejado en una. Particularmente siento que no pude mejorar mi técnica básica de natación, y en gran medida fue por la masificación en una calle. Tuve que dejar de ir a nadar por eso. 
-El profesor me parecía muy agradable, respetuoso, profesional, puntual y parece que muy bien preparado. Incluso llegó a acudir a clase estando enfermo. Lo vi muy profesional. Sin embargo, le faltaba mucha motivación y mucho interés. Ni él parecía disfrutar de su trabajo ni creo que supiera transmitir motivación a quienes participamos en la actividad en algún momento. No enseñaba pautas de técnica de natación ni de carrera, no ponía foco en la transición entre deportes que caracteriza al triatlón (sólo nos ponía a correr o a montar en bici, en días alternos), no corregía fallos de técnica en ninguno de los tres deportes, y a mi juicio no sabía adaptarse a tener un grupo de personas de niveles y capacidades diferentes y no mostraba la flexibilidad que un grupo así requiere. La mayor parte de los días simplemente indicaba unas distancias y unos tiempos para realizar la actividad, y luego se le veía distraído con el móvil, sin prestar atención, sin corregir, motivar o sugerir. También vi momentos en que se le veía muy estresado. Y creo sinceramente que es una persona bien agradable y preparada, es sólo que parece que no estaba disfrutando nada del trabajo de tener que enseñar unas pautas básicas de su deporte a un grupo de personas sin mucha experiencia en el mismo.
Por esas razones pongo una satisfacción muy alta a la iniciativa y al programa (idea, entorno, calidad-precio, organización (salvo lo de la calle única para nadar)), pero no puede ser satisfacción total porque en mi caso no se ha cumplido el objetivo que entiendo que debería tener una iniciativa de escuela de triatlón que quiere fomentar este deporte. 
La iniciativa es tan buena que yo volvería a darle otra oportunidad sin duda, pero con más implicación e interés en el profesorado, y mejores circunstancias para desarrollar la natación.      "
37559213;2023-06-07 10:57:38;2023-06-07 10:58:34;316475;;Parcial;Mobile;23918757;29508;;Mujer;De 46 a 65 años;;;Natación;;;;;;Familiares/ amistades;;;;9;9;Nunca;;10;9;10;10;;;;;;;;;;
37559215;2023-06-07 10:26:37;2023-06-07 10:28:59;316475;;Completa;Mobile;23918759;29508;;Mujer;De 46 a 65 años;No;;Natación;Ciclismo;Carrera;;;;;;Web / Aplicación;;5;6;Nunca;;9;10;10;10;9;9;9;8;8;8;9;9;Sí;
37559216;2023-06-07 10:33:00;2023-06-07 10:35:17;316475;;Completa;Mobile;23918760;29508;;Mujer;De 46 a 65 años;Sí;9. Moncloa-Aravaca;Natación;Ciclismo;Carrera;;;;;;Web / Aplicación;;10;10;Nunca;;10;10;10;10;10;10;10;10;10;10;10;10;Sí;Dar más visibilidad a la actividad 
37559221;2023-06-07 10:32:07;2023-06-07 10:38:32;316475;;Completa;Mobile;23918765;29508;;Mujer;De 27 a 45 años;Sí;18. Villa de Vallecas;Natación;;Carrera;;Centro Deportivo;;;;;;10;10;;Sí;10;10;10;10;10;10;10;10;10;10;10;10;;Separar 1 día la clase de natación del viernes con las 2h del sábado. Ampliar natación a 2 días. La actividad está muy bien, el problema fue estar cerrada la piscina de sep a enero. El profesor da muy bien la actividad, de 10, un gran entrenador. Muy contenta con triatlon por Madrid. Espero que siga muchos años. 
37559222;2023-06-07 10:44:11;2023-06-07 10:59:28;316475;;Completa;Mobile;23918766;29508;;Mujer;De 46 a 65 años;Sí;5. Chamartín;Natación;Ciclismo;Carrera;;;;Familiares/ amistades;;;;3;8;Nunca;;9;4;4;4;5;9;9;4;4;4;9;4;Sí;El profesor no ha sido muy motivador, poco pendiente de la buena ejecución de los ejercicios, poco didactico. No corrige ni hace seguimiento de la evolución de cada uno.  
37559224;2023-06-07 18:36:34;2023-06-07 18:39:27;316475;;Completa;Mobile;23918768;29508;;Hombre;De 27 a 45 años;Sí;10. Latina;Natación;Ciclismo;Carrera;;;;;Federación;;;3;5;Nunca;;9;5;6;6;6;10;8;7;5;6;10;6;;"A las 20h pediría más calles para poder dar acceso a diferentes niveles de natación

En bici, complementar con salidas técnicas de bici de mtb

En carrera, completar con salidas a la montaña "
37577528;2023-06-08 09:20:32;2023-06-08 09:22:29;316475;;Completa;Desktop;;;;Mujer;De 46 a 65 años;Sí;11. Carabanchel;;;;Ninguna;;Redes sociales;;;;;5;8;Poca frecuencia (1 a 3);Sí;7;8;8;8;7;8;8;7;8;7;6;7;Sí;PRUEBA
37663503;2023-06-22 12:28:09;2023-06-22 12:29:55;316475;;Completa;Mobile;23918683;29508;;Mujer;;;;;;Carrera;;;;;;Web / Aplicación;;9;10;Nunca;;10;9;9;9;9;10;10;10;10;10;10;10;Sí;
37663518;2023-06-23 16:41:48;2023-06-23 16:45:31;316475;;Parcial;Mobile;23918695;29508;;Mujer;De 46 a 65 años;No;;Natación;Ciclismo;Carrera;;;;Familiares/ amistades;;;;8;8;Nunca;;8;5;4;5;5;8;8;7;7;7;8;6;No;Habiendo tenido el año pasado a David q consiguió q no faltaramos y motivo a la participación en muchas competiciones, el nuevo monitor 
37663529;2023-06-26 21:34:05;2023-06-26 21:48:39;316475;;Completa;Desktop;23918706;29508;;Mujer;De 46 a 65 años;;;;;;;;;Familiares/ amistades;;;;6;6;Poca frecuencia (1 a 3);;7;6;6;6;7;7;7;5;5;5;8;7;Sí;"Respecto al primer año, he echado de menos la practica de carrera y bici en la misma sesion, solo hemos practicado transiciones en las ultimas semanas. 
La supervision durante las clases de natacion es escasa, no habiendo recibido ninguna correccion/recomendacion en todos estos meses. 
En general, las clases me han resultado menos motivadoras...
Un punto positivo han sido las recomendaciones de nutricion compartidas por el entrenador.

"
37663539;2023-06-22 13:42:15;2023-06-22 13:44:14;316475;;Parcial;Mobile;23918716;29508;;Mujer;;Sí;2. Arganzuela;Natación;Ciclismo;Carrera;;Centro Deportivo;;;;Web / Aplicación;;7;8;;;7;8;8;8;8;8;;;;;;;;
37663542;2023-06-22 17:17:05;2023-06-22 17:22:03;316475;;Completa;Mobile;23918719;29508;;Mujer;;Sí;14. Moratalaz;Natación;Ciclismo;Carrera;;;Redes sociales;;Federación;;;0;4;Nunca;;10;5;5;4;5;5;9;4;4;5;7;5;No;"A la vez que empezábamos la segunda temporada el entrenador creó su propio club con lo que el grupo se dispersó 
A veces se solapaban sus clases con las de triatlo por madrid. A veces unia las clases sobre todo lo sábados., aunque es verdad que e manera esporádica. 
No corrige en ejercicios de natación.tampoco en la carrera
"
37663548;2023-06-22 12:44:41;2023-06-22 12:46:34;316475;;Completa;Mobile;23918725;29508;;Hombre;De 27 a 45 años;Sí;17. Villaverde;Natación;Ciclismo;Carrera;;;Redes sociales;;Federación;;;8;10;Nunca;;10;10;10;10;10;10;10;10;10;10;10;10;Sí;
37663590;2023-06-22 14:24:29;2023-06-22 14:25:35;316475;;Parcial;Mobile;23918767;29508;;Hombre;De 27 a 45 años;Sí;2. Arganzuela;Natación;;;;;;Familiares/ amistades;;;;6;10;Nunca;;10;10;10;10;10;10;10;;;;;;;
37663591;2023-06-23 20:16:19;2023-06-23 20:18:57;316475;;Completa;Mobile;23918768;29508;;Hombre;De 27 a 45 años;Sí;10. Latina;Natación;Ciclismo;Carrera;;;;;Federación;Web / Aplicación;;5;7;Poca frecuencia (1 a 3);No;8;6;6;6;7;7;6;6;3;6;6;5;;Agradecería clases por niveles, dos calles para cada horario facilitaría las cosas. Estaría bien algo de personalización en los entrenamientos, no vale lo mismo para todos. Gracias 
37665583;2023-06-14 13:08:07;2023-06-14 13:11:47;316475;;Completa;Desktop;;;;Hombre;De 46 a 65 años;Sí;9. Moncloa-Aravaca;Natación;Ciclismo;Carrera;;Centro Deportivo;;;;;;9;9;Nunca;;8;9;8;9;9;10;9;9;9;9;8;8;Sí;Para el segundo turno los jueves en la Casa de Campo poder disponer de 2 calles para nadar igual que tienen en el primer turno
37666162;2023-06-14 13:27:22;2023-06-14 13:29:43;316475;;Completa;Mobile;;;;Hombre;De 46 a 65 años;Sí;11. Carabanchel;Natación;Ciclismo;Carrera;;Centro Deportivo;;Familiares/ amistades;;;;10;10;Nunca;;10;10;10;10;10;10;10;10;10;10;10;10;;El poder tener alguna calle más durante la actividad de natación y el poder dejar las bicis y el material durante la actividad de ciclismo o carrera en la casa de campo
37666434;2023-06-14 13:51:41;2023-06-14 13:54:29;316475;;Completa;Mobile;;;;Mujer;De 27 a 45 años;Sí;7. Chamberí;Natación;Ciclismo;Carrera;;;;Familiares/ amistades;;;;1;1;Poca frecuencia (1 a 3);Sí;5;5;5;5;5;7;5;3;5;3;10;6;;
37666616;2023-06-14 14:10:00;2023-06-14 14:40:04;316475;;Completa;Mobile;;;;Mujer;;;;Natación;Ciclismo;Carrera;;Centro Deportivo;;;;;;10;10;Nunca;;10;10;10;10;10;10;10;6;10;10;10;10;;Un día más de natación no vendría mal. 
37667012;2023-06-14 14:27:02;2023-06-14 14:31:02;316475;;Completa;Mobile;;;;Mujer;De 27 a 45 años;Sí;18. Villa de Vallecas;Natación;;Carrera;;Centro Deportivo;;;;;;10;10;Nunca;;10;10;10;10;10;10;10;10;10;10;10;10;Sí;"Yo conoci el programa por el profesor q impartia la clase pero en el centro mismo no supieron apuntarme porq no tenian conocimiento y en otros centros no saben ni que esta actividad existe.
Tambien creo q se deberian añadir mas dias de actividas porq uno de cada modalidad se queda un poco cojo."
37667349;2023-06-14 15:03:12;2023-06-14 15:06:04;316475;;Completa;Mobile;;;;Mujer;De 27 a 45 años;Sí;18. Villa de Vallecas;Natación;Ciclismo;;;;;Familiares/ amistades;;;;7;10;;Sí;10;10;10;10;8;8;7;8;10;10;10;10;;Aumentar los días que se realiza para poder tener más facilidad de asistir
